レースコード,レース場,レース回,風向,風速,波の高さ,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240111WKM09,21,8,8,5.0,5.0,0,1,1.3493833598603022,1.1051649499653038,-0.4579618304856218,0.051564996710193,-1.4940357616679705
20240111WKM10,21,9,8,5.0,5.0,1,1,-0.2427105442336612,-0.1259281197351538,-1.6433673592612787,1.2290979202415722,0.0357233999891977
20240111WKM11,21,10,8,5.0,5.0,0,1,0.0390196552488218,0.3757734313116245,1.1422845590137896,-1.1568509657141153,-1.6726667951658205
20240111WKM12,21,11,8,5.0,5.0,0,1,1.6297793808389436,1.6878571778956688,0.9102263585377108,0.6431349425645064,-0.740263212556933
20240111SMS01,2,0,5,3.0,3.0,2,1,0.1242986614739027,0.6818109986047851,-0.9770139161390048,0.1151556848711434,-0.5715476066494015
20240111SMS02,2,1,5,2.0,2.0,2,1,1.1711547123928594,0.9418758300520368,-0.8151697021180406,-0.0213038331574687,1.3880858307767203
20240111SMS03,2,2,5,3.0,3.0,2,1,0.1278384082138715,0.4395888896674161,-0.5369020276059822,-1.040033470288814,0.104031297322076
20240111SMS04,2,3,5,4.0,4.0,2,1,0.5023108903036477,0.5324950828646048,1.8128567416046983,-0.6287511628824054,-1.450952500219994
20240111SMS05,2,4,5,4.0,4.0,0,1,0.8100790417051739,0.871534968059366,-0.7597741320090594,0.4075042895174973,-1.7541160386140988
20240111SMS06,2,5,5,4.0,4.0,2,0,-0.3160898292249359,-1.5659891273062496,-1.1555340332166295,0.5128338904717751,1.603209632112412
20240111SMS07,2,6,5,4.0,4.0,2,1,0.2486036439468031,1.13664419605514,1.2637388508285643,-0.5381170645389032,-0.7715167498104571
20240111SMS08,2,7,5,5.0,5.0,0,1,1.115891491565968,1.4631374956619967,-0.6388248655859591,-1.5720959566677986,1.3561270072416023
20240111SMS09,2,8,5,5.0,5.0,0,1,1.5901264378255626,0.6259434582090561,1.3937450642076383,1.5060349987136876,-0.8451542547284964
20240111SMS10,2,9,5,4.0,4.0,0,1,1.701496018290816,1.3048328430505236,0.4006743090158289,0.822544185709623,0.4989827049481801
20240111SMS11,2,10,5,5.0,5.0,0,1,1.4652238142717169,0.5150843756948179,0.5245471250193092,0.9232543543810346,1.5436589269922627
20240111SMS12,2,11,5,5.0,5.0,0,1,0.3265708865856216,0.0947768134371708,0.7101762745188778,-0.2112495970876074,-0.9534625892455766
20240111TKY01,13,0,6,1.0,1.0,1,1,1.59163951714,1.5672375658305004,1.5282206181286029,-0.2226707317856447,-1.146684046583553
20240111TKY02,13,1,6,2.0,2.0,1,1,0.8175703056241307,1.1589006763382133,0.3800731507009509,-0.3915698597719992,-0.571547606649409
20240111TKY03,13,2,6,1.0,1.0,1,1,1.4004391097502584,1.247480406927776,-0.2498029667416605,1.2553422757000303,-0.3190316136113538
20240111TKY04,13,3,4,1.0,1.0,0,1,1.0058959402121777,1.5201432997675908,-0.8196476443142365,1.8584804554706904,-1.4256648712805224
20240111TKY05,13,4,3,2.0,2.0,2,1,0.0138975775909513,0.3166411085238196,0.95552153236916,-1.1417586570798148,-1.7610719946801403
20240111TKY06,13,5,3,2.0,2.0,2,0,0.1593813189336072,0.5903678462857748,-0.9065904972248852,1.4911462132127034,0.1253924656438988
20240111TKY07,13,6,4,1.0,1.0,2,1,-0.7271216912095672,-0.0419939945102421,-0.6427252624822524,1.9112955874456432,0.1526762041381193
20240111TKY08,13,7,5,4.0,4.0,1,1,0.9400444249853775,1.6020344489020346,-0.2054348247723706,-0.3990579031366349,-0.3119673075391931
20240111TKY09,13,8,5,2.0,2.0,1,1,0.6313463523062042,0.5771225089929855,-1.5460650469587351,0.210027892738454,0.4767312946227894
20240111TKY10,13,9,5,5.0,5.0,0,1,1.0804444072913928,1.0981888316293271,-0.7479192081768701,0.050068877447873,-0.5872202195147196
20240111TKY11,13,10,8,6.0,6.0,0,1,1.1591802384345244,0.3792853732928217,0.8072894104514968,0.434976216173011,1.079164618254275
20240111TKY12,13,11,8,5.0,5.0,0,1,0.2801430394540611,-1.082370548566354,0.6581109367017981,1.1899648586603155,-0.2439750182371025
20240111MYJ01,9,0,6,1.0,1.0,1,1,0.9157735467677912,1.6381027617384365,-0.0924786050854461,1.6386232378508383,0.396664414010974
20240111MYJ02,9,1,6,2.0,2.0,2,1,-0.2833625295235361,-1.0265974889388243,-1.0740078867771536,1.5556110068886144,-0.5423261445466562
20240111MYJ03,9,2,6,2.0,2.0,2,1,-0.7613614229799398,0.087170037781019,0.7277817125559952,0.3376758378084936,-1.2543310691002756
20240111MYJ04,9,3,6,1.0,1.0,2,1,-0.0193748791911938,-1.9033710473983088,0.8791107300097198,-1.4112397808174737,-1.4408849451942294
20240111MYJ05,9,4,6,1.0,1.0,2,1,-0.9084296713059414,-1.1945412679714231,-0.8908270401108189,1.710664993203059,-0.7079450823477976
20240111MYJ06,9,5,6,1.0,1.0,0,1,0.8063600886956982,0.8993470074441202,-1.1183497767653443,1.595554957415612,-1.208185840126654
20240111MYJ07,9,6,6,1.0,1.0,2,0,-0.0440923279392594,-0.4715826527663015,-1.7044118541116808,-0.9236454525725966,1.6211739968939458
20240111MYJ08,9,7,4,1.0,1.0,2,0,-0.9893451053219136,0.1102004054324456,-0.5059788283927776,-1.1940486325997055,1.3363062095620852
20240111MYJ09,9,8,5,2.0,2.0,1,1,1.4131456852441908,0.3520732156501846,-0.8917395792259399,0.4124401793052565,0.322748612183959
20240111MYJ10,9,9,5,3.0,3.0,2,1,-1.5106217526110508,-1.054978423688629,-0.932264326232006,0.1284722460766332,0.2044372993079919
20240111MYJ11,9,10,5,3.0,3.0,1,0,0.7639611480447178,-1.000260031091693,0.3385807610334372,-0.4972438237780348,-0.2729247070474743
20240111MYJ12,9,11,5,3.0,3.0,0,0,1.177805613809548,0.3913123132591427,-0.1058979981526856,0.671357063210556,-0.0911731975607418
20240111KJM01,5,0,2,2.0,3.0,1,1,0.8073329972666855,0.8558346031492263,0.4041699474438947,0.6781960782321461,-0.5601120336112173
20240111KJM02,5,1,5,3.0,3.0,2,1,-0.6080393592271331,0.0437537925646612,-0.8707353550398563,-0.8463042272948715,-0.0820886379128876
20240111KJM03,5,2,2,3.0,3.0,2,1,-1.758434453424055,-0.0895691764232756,0.5696372823962064,-0.1630618828435538,-1.3834964763236863
20240111KJM04,5,3,5,2.0,3.0,2,0,-0.4245373280266394,-1.6217078762250552,-0.938045762628292,-0.1260232202631294,0.6795208855361184
20240111KJM05,5,4,3,4.0,3.0,2,1,-0.649171313320478,-0.7933517328883489,-0.7848038406962061,0.5487402089449258,0.6024144966768626
20240111KJM06,5,5,3,4.0,3.0,0,1,0.8850847023144335,1.1780364411856772,1.3130469600073942,0.4388278684089768,-0.5715476066494044
20240111KJM07,5,6,5,2.0,3.0,2,1,-0.4126381978671452,0.0767255366594967,-1.0196230848851076,-0.7136666743427359,0.712832435640261
20240111KJM08,5,7,3,3.0,3.0,3,1,-1.0805685402226102,0.2740920062421326,1.41204805477507,1.475051771416925,1.1009637651263606
20240111KJM09,5,8,5,1.0,1.0,0,1,1.51059703912297,1.1180620398012102,-0.3357451755154361,-0.5511596127632291,-0.4975040219977529
20240111KJM10,5,9,2,2.0,3.0,0,1,1.001409071285768,1.0647935500086576,-1.3200403816573478,-1.3784401953015784,-0.9567385038418031
20240111KJM11,5,10,2,1.0,1.0,0,1,1.6888073321181185,0.7385770138553355,0.671488160728655,0.6033229905183792,0.0
20240111KJM12,5,11,2,1.0,1.0,0,1,1.4505907509650735,0.5823157012282726,-0.2738028427590155,-0.8093792288021722,-0.0520156486610381
20240111NRT01,23,0,2,5.0,5.0,1,1,1.826195377654623,1.303198209117986,-0.3973154712160817,0.3033931314054795,1.2222530175967736
20240111NRT02,23,1,2,4.0,4.0,2,1,0.0721594661373802,-0.3113825773926033,-0.4945802707787908,-0.7349226640283575,-1.4388861576723773
20240111NRT03,23,2,2,5.0,5.0,0,1,1.127777708508069,0.8948071094163315,-0.6673215699357335,0.7242039417965638,-0.9633432944855784
20240111NRT04,23,3,2,5.0,5.0,1,1,0.5838058628580522,-1.7933173929015993,0.0532956701555548,-0.1590577687230678,0.7349120702827521
20240111NRT05,23,4,2,5.0,5.0,2,0,-0.3324981955522409,-1.0701083741307469,-1.339715189035956,0.6298273972945447,-0.1020620726159684
20240111NRT06,23,5,2,6.0,6.0,2,1,-0.0932585906193087,-1.261089909819873,1.702916436738923,-0.3343849730014155,0.9389710680668808
20240111NRT07,23,6,2,6.0,6.0,3,0,-0.5076401374634587,0.27420440882057,-0.2689439960674269,-0.0746874359811091,0.2004012040140557
20240111NRT08,23,7,2,6.0,6.0,2,0,-0.2333034194029238,-1.5097078893032951,1.011562848975905,-0.2647583229998302,-0.7349120702827416
20240111NRT09,23,8,2,6.0,6.0,2,0,-0.7957769373338962,-0.6152688814627416,-0.4027721552692599,-0.8550071573606042,-0.7514870207874675
20240111NRT10,23,9,2,5.0,5.0,0,1,1.2110732208050703,0.5287347939209279,0.7997718497018398,1.2759751513193498,-0.9525793444156704
20240111NRT11,23,10,2,6.0,6.0,1,1,0.182182281448354,0.4964899973257471,-0.3442673839690456,-1.3944395775136469,-0.3086066999241708
20240111NRT12,23,11,2,5.0,5.0,0,1,1.2615238994280866,-1.833300018585339,-0.1192255835417547,-0.0576487750144911,-0.3966185727518237
20240111TSU01,17,0,8,3.0,2.0,1,1,0.6984392942466523,0.7349420280720538,0.005339018761694,-0.6164634942816387,-0.2044372993079934
20240111TSU02,17,1,8,3.0,2.0,2,1,0.9602905722034616,0.6954400984519293,0.0478328016603914,0.0551853630680382,-1.091407692240015
20240111TSU03,17,2,2,4.0,2.0,2,1,-0.7562457820067849,-1.0649851345279553,-0.0758025660986918,0.4470752224775712,-1.2909944487358025
20240111TSU04,17,3,2,3.0,2.0,2,1,-1.1754911845828928,0.2667565534370646,-0.0067488640241028,0.925215565729372,-0.1138866480856846
20240111TSU05,17,4,8,4.0,2.0,0,1,1.376147841996514,1.1335936822520405,-0.2448883106914394,0.7836599524024687,-0.9333079375444902
20240111TSU06,17,5,2,4.0,2.0,1,1,-0.7644689431240858,-0.7507302317607092,-1.095185026774238,-0.9876501382599352,-0.4423258684647116
20240111TSU07,17,6,2,4.0,2.0,0,1,1.5216218033850903,0.9173526789954922,-1.0798209261969014,-0.8216193545988709,-0.6762034325933993
20240111TSU10,17,9,2,4.0,2.0,0,1,0.5729128606574347,0.6218324015675494,0.1095103622248006,-1.80428407903437,0.8770580193070164
20240111TSU11,17,10,2,4.0,2.0,0,1,1.5631077227529604,1.4842426943166531,-0.4245484776790375,0.2701934091571601,-0.1425664871280507
20240111TSU12,17,11,2,3.0,2.0,0,1,0.6352885307568946,1.2587989002418394,1.1950659649081352,-0.4858414249339418,0.961591147134052
20240111TKN01,11,0,8,1.0,0.0,2,1,0.6117364025051653,0.3750145317452881,-0.3002274355942789,-0.1311234647249393,0.1788183027053071
20240111TKN02,11,1,8,1.0,0.0,2,1,-0.4449536126166881,0.2607529309569454,0.0279818355554986,0.041584518532495,1.1009637651263715
20240111TKN03,11,2,8,1.0,0.0,2,0,0.0077294433447623,0.1338713966640395,0.2850522912879569,0.8507569194546548,0.6263765644712542
20240111TKN04,11,3,8,1.0,0.0,2,0,-0.4139808563720625,-0.794689356346887,0.34088629980366,-0.2240415296994243,0.9035079029052548
20240111TKN05,11,4,8,1.0,0.0,1,0,1.00571072814482,-0.7128089030684439,-0.040782700807611,0.546248666208924,1.0620699758102166
20240111TKN06,11,5,8,1.0,0.0,2,1,0.2725556738366131,0.3699822545283157,-0.9223387072448552,-0.6562659275011276,0.9882117688026172
20240111TKN07,11,6,8,1.0,0.0,2,0,-0.4908114861647931,-1.9034951237537967,0.666175722791289,-0.8866539945837192,0.3203065951676203
20240111TKN08,11,7,8,1.0,0.0,2,1,-0.9911297260952132,-0.8805188600193984,-0.8199783106083759,-0.7796090071955963,1.5283988521017844
20240111TKN09,11,8,8,1.0,0.0,1,1,0.0057809394510804,0.716063724320438,-0.6047575995897667,1.2406917281681813,0.4682929057908463
20240111TKN11,11,10,8,3.0,2.0,0,1,0.9009532831319026,1.145502776894593,-0.1934788187129474,0.067697526946438,0.1622214211307586
20240111TKN12,11,11,8,3.0,2.0,0,1,1.8830913166006584,0.9608566067958324,-0.5897011875432037,1.166516725547763,-1.0807190513512848
20240111HMN01,18,0,8,1.0,1.0,2,0,0.1379228347957737,-0.8922645837893662,-1.39131880872004,0.8917365187434956,1.8136906252749807
20240111HMN02,18,1,2,1.0,1.0,2,1,0.7180038520566785,0.8796441226035456,-0.6354526630153496,-0.597667050360254,-0.1873171623163428
20240111HMN03,18,2,2,2.0,1.0,2,1,0.4972878471845767,0.3744919962812233,1.7140594362126451,-1.532067801452591,-0.5536102382055231
