レース場,レース回,風向,風速,波の高さ,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
3,6,0,5.0,5.0,2,0,-1.0355049938966725,-0.735904983679565,-0.0915890455020137,0.0843269938600225,1.43019388386838
3,7,1,3.0,3.0,2,0,-0.676082316662201,-0.619976488534692,-1.624155092017567,-0.7297636846464792,1.373407313852969
3,8,1,3.0,3.0,1,0,0.3500103527185347,0.1720772971328691,-1.0192098357917458,0.6636335465484744,0.5083402265537681
3,9,1,3.0,3.0,1,0,0.5158409174489258,0.9918438660613924,0.2609700022494228,-0.7911132126458004,0.0747853004494385
3,10,1,3.0,3.0,1,0,-0.4151754877701422,0.3851080213092862,0.1138493372382419,-0.531405523082258,0.5504818825631785
3,11,6,1.0,1.0,0,0,0.0171934028502991,0.2239870360707775,0.4288673565937198,0.9091812874317634,1.2398016476032907
23,0,2,6.0,6.0,3,0,-0.1383174537574162,-0.5711441406310208,-0.5940660264130676,-0.8895085955192348,1.243302668989955
23,1,2,4.0,4.0,0,0,1.2720102381797236,1.624536972841418,-0.0149148760113187,1.631043376790831,-0.1234661995812069
23,2,2,4.0,4.0,2,1,-0.325492417901748,-0.7069343825681674,0.578271611275217,-0.1376750257066434,1.1766968108291005
23,3,2,4.0,4.0,3,0,-0.5115315320075613,-0.7803521473162269,-0.5194863791565627,-0.3405444651290689,0.7340252743933713
23,4,2,4.0,4.0,2,0,-0.6327764257368552,-0.2018934327213145,-1.1139274984552672,1.9645547886704864,1.1302411732813726
23,5,2,4.0,4.0,2,0,-1.383299260716958,-0.3351389059687666,-0.1923318744413036,1.922434771847772,1.5726468022303255
23,6,2,5.0,5.0,2,0,-1.2237394483755264,-0.1414688698120257,-0.4517180667947087,-0.5237703747404964,0.9225312080289084
23,7,2,5.0,5.0,2,0,-0.0548109541678055,-0.3119659943216024,-0.4068061159744318,-0.7344052404167646,0.130327042490209
23,8,2,3.0,3.0,0,1,1.397946530453019,1.4224598294891642,1.0084174726891242,-1.3256705247397926,0.2588414429342458
23,9,2,3.0,3.0,2,0,0.0466784435676777,-0.712158225488596,-0.8501420002986607,0.7479873222684198,0.4803539249462761
23,10,2,2.0,2.0,0,0,0.6238208411598565,0.954128561658814,-1.5941802263077072,-0.2306072043389503,-0.0280253912967524
23,11,1,2.0,2.0,2,0,-0.3035378431124544,-0.4293895857198382,-0.4491518186197055,1.0690565113521409,0.2573425063274838
17,0,2,6.0,5.0,2,0,-0.196575030821816,-0.1600953171075599,0.7258749276768832,1.506320011369081,0.3193036744780949
17,1,2,6.0,5.0,2,1,-1.280059021855761,-1.3303802104754785,-0.8226269926483659,1.052250928254448,0.4817948491780836
17,2,2,6.0,5.0,1,0,0.8419312746987065,0.4199726275005818,-0.5915092119529476,-1.64846455556289,-0.6495584143919135
17,3,2,7.0,5.0,1,0,0.8504901140209656,0.4692786911969893,0.8745166148488319,-0.3599424514488035,-0.0694042915388467
17,4,2,6.0,5.0,2,1,-0.1076765427977702,0.1153410518429476,1.056876461889102,0.1899246795496405,-1.4388861576723837
17,5,2,7.0,5.0,2,0,0.1797232169917144,-0.1947759796508602,0.3674589622300656,-0.6401358859747565,1.1027317516138286
17,6,2,7.0,5.0,0,1,0.8591202849499158,1.1584076154471077,-1.3489316384769097,0.4494445755447223,-0.1873171623163305
17,7,2,5.0,3.0,1,1,0.56944971946295,0.4811991478074319,-0.0222325036010404,-0.35796594901959,1.3487474448080226
17,8,2,6.0,5.0,2,0,-0.2306848193759848,-0.4471655927973248,0.5697027368888646,1.0755294985288166,-1.1034397358807022
17,9,2,5.0,3.0,2,0,-0.7358934336401916,1.108081855392005,-1.2317295216341078,-0.0063789181866748,0.2124139951620265
17,10,2,6.0,5.0,2,0,-1.2757871298396977,-0.272620893626035,-0.1075642774110944,-1.1255776249938585,1.1362790968683645
17,11,2,5.0,3.0,2,0,-0.4680026781489404,-0.5067750239157818,1.2315760316264317,0.8749096574824525,-0.1880609792558063
11,0,8,5.0,4.0,0,1,1.2082854205094469,0.7225839644990102,0.4192080262490235,1.2778230555093002,0.8519427513705997
11,1,8,5.0,4.0,3,0,-1.8315307512441563,-1.8503191722508736,-0.2161597218240411,-1.1878990775671814,-1.227963270056779
11,2,8,5.0,4.0,1,0,1.1536138094497663,1.6383860583100835,-1.7923601580362511,-0.0687526201967998,0.9078551168782444
11,3,8,5.0,4.0,3,0,-1.9596258077507416,-1.8087368943858209,0.4626973538499349,0.6442759033564237,-0.6483810684699526
11,4,8,5.0,4.0,3,0,-1.6950983565566982,-1.846625064063196,-1.2617597596763634,-1.546351149768088,1.7392527130926023
11,5,8,5.0,4.0,2,1,-0.457244398314218,-0.4766103133598683,-0.5097296479806062,0.3991009256918004,-0.9307501482587688
11,6,8,5.0,4.0,2,0,-1.1049301833549905,-1.0894549893400154,-1.443728870628468,-0.4689753539737485,-0.142566487127992
11,7,8,4.0,3.0,2,0,-0.2749946317404235,-0.5105476142584706,0.2202360513984715,-0.1540792670415654,0.4398845894236078
11,8,8,4.0,3.0,2,0,0.2475287725230347,0.2847128012271956,-0.9877082471208922,0.4255652332628697,0.3870564998581044
11,9,8,4.0,3.0,2,1,-0.9412865447475616,-0.9122104454645508,-1.152098962888727,-0.4375638620633981,0.8285171561084904
11,10,8,4.0,3.0,2,0,-0.8429899845213484,-0.7926617408189703,1.3751689212959033,-1.3396405209671454,-0.1873171623163435
11,11,8,4.0,3.0,0,0,-0.8352314949198264,-1.15576789390375,-0.1146936249496495,0.4081565127608955,1.013279293212047
22,0,2,3.0,1.0,2,1,0.6230030021804214,-0.4636323113125392,1.9911227198945256,-0.1992783572469564,-1.4273423561116647
22,1,0,2.0,1.0,1,1,1.1419256500616404,1.1586516835549476,1.047074477799248,-0.6560448328637958,-1.080719051351315
22,2,0,3.0,1.0,1,0,-0.2405053009197734,0.2611049438758012,-0.5242523925812047,1.2805454042913238,1.055097887479104
22,3,2,3.0,1.0,2,0,-1.7236621512780097,-1.7738227973182,0.1408900016653859,0.1115204698403977,1.5802843913132814
22,4,2,3.0,1.0,2,0,-0.7625845686107353,0.0681500486757506,-0.8565887799973534,-0.0044921606171766,1.9565594803123052
22,5,2,3.0,1.0,0,1,1.6657195593469738,1.376729599639012,0.3121425511327405,-0.3754336369822201,0.7411662123033538
22,6,2,3.0,1.0,2,1,-1.3849308828954503,-1.59482646914557,0.4723486775654162,-0.3841293377764322,-0.3860137594912262
22,7,2,3.0,1.0,0,0,0.4625527730956906,0.462254633660304,-0.8442664447202757,0.2175162747200008,1.0882937113205056
22,8,2,3.0,1.0,1,0,-1.3635664142227577,-1.7206502476947876,0.3100647855398979,-0.8942288115577702,-0.8319197049477085
22,9,2,3.0,1.0,0,0,0.0750131207892383,-0.5496888687524654,-0.7833549982922657,1.2556877407459963,0.0347776126489181
22,10,2,3.0,1.0,1,0,-0.2434413091915515,0.3263991205031664,-0.4244247327304138,1.0248376479320715,-0.6316825162238844
22,11,2,3.0,1.0,0,0,0.6680760362464553,0.467324821250036,-0.4919765831092617,0.901868091753171,0.1595158068056784
18,0,2,6.0,3.0,2,0,-0.5756725369118803,0.0472625354268343,0.0280541065658513,0.2195806883557979,0.9447793865558348
18,1,0,6.0,3.0,2,0,-0.1359356708870986,-0.3133574458931409,-0.392300766592251,-0.8335693998573016,0.8685593861377082
18,2,2,5.0,3.0,0,1,0.7719717856244406,0.8453015745538726,0.6922375369094222,-0.6292417538576139,0.1548351264376943
18,3,2,5.0,3.0,2,0,-0.5592049254611909,-0.2635753780422681,-0.9711977284208422,-0.1110510861994847,1.545685521342187
18,4,2,5.0,2.0,2,0,0.2995147561504312,0.0276513360086326,-0.5404715019577412,1.2007060965388168,1.0031397251510672
18,5,2,4.0,2.0,2,1,0.1286606028923885,0.233267106395736,0.5950840877210241,-0.0365950358108246,0.3181222579936594
18,6,2,3.0,1.0,0,0,0.826788573633502,0.7678625339943689,-0.8362857497777065,-1.094419974682201,0.9392599153912504
18,7,2,3.0,1.0,2,0,-0.8399197465263064,-0.7012982113704714,-1.0185452831302535,-1.0258889944475549,1.2359718110469244
18,8,2,3.0,1.0,3,0,-1.9269016344890109,-1.886120842688297,-0.2038803788788051,-1.2696929046573548,1.0206207261596492
18,9,2,4.0,2.0,2,0,-0.2597377157518987,-1.431659337693214,-1.5215072330651689,-0.6299393680788518,-0.6122459516635298
