レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240607EDG11,16,10,2,4.0,5.0,37.1,2,1,-0.8053932373539291,-0.2530180138409163,0.5055545469891318,1.5306868525609023,0.4109897759310922
20240607EDG12,16,11,2,4.0,5.0,37.1,2,1,0.3310826394824688,-1.418436439390793,-0.6499384420156389,1.1662978697553863,-0.3640069986282685
20240607KRY01,15,0,5,4.0,3.0,47.0,2,1,-0.53463142937908,-0.2527032207356066,0.4506315566542683,0.8013729590203408,-0.1559836537695858
20240607KRY02,15,1,5,4.0,3.0,47.0,3,0,-1.6267220798483346,-0.9436774288794048,-1.3094420821825403,0.4310237508695131,-0.6358383670736666
20240607KRY03,15,2,5,3.0,2.0,47.0,1,0,0.4100512459026141,0.6185660615995217,0.2860241239327811,-1.6393372235058068,0.9730106136206992
20240607KRY04,15,3,5,3.0,2.0,47.0,1,0,0.4213916867980593,0.4748723633361457,1.6938538604376208,-0.2478059527595169,1.6727262911286909
20240607KRY05,15,4,5,4.0,3.0,47.0,2,1,-0.9683739929674186,-1.8885865256610377,-0.3324798579595361,-1.0362020438680608,-0.6122459516635314
20240607KRY06,15,5,5,5.0,4.0,47.0,2,0,0.4113755243834175,-1.3702841019878207,-0.589330677789675,0.111866145040727,0.5715476066494118
20240607KRY07,15,6,5,3.0,2.0,47.0,2,0,-1.399359241744818,-0.580608114441873,0.5220810403462954,0.962465221993241,-0.2029103139823743
20240607KRY08,15,7,5,4.0,3.0,47.0,2,0,0.3898707604244967,0.9975713753993778,0.6949520279162792,-1.103858346266591,0.2531848417709111
20240607KRY09,15,8,5,4.0,3.0,47.0,2,1,-0.0877437413116756,-0.5401907131366402,-1.1108906776888334,1.310427367256217,-0.3777486782596859
20240607KRY10,15,9,5,3.0,2.0,47.0,1,0,0.5160456114347619,0.8832240549195796,-0.7283968910116558,-0.0954243481918993,-0.3834824944237155
20240607KRY11,15,10,5,3.0,2.0,47.0,2,0,-0.9304166970309744,0.3682709938867006,-1.6520732640053584,-1.759787854871751,1.2649295438158346
20240607KRY12,15,11,5,3.0,2.0,47.0,0,1,0.2422848604170176,0.6114321335362803,0.4036920966610088,-0.4241353066891416,-1.0166707708822065
20240608OMR01,8,0,8,1.0,1.0,48.0,3,0,-1.0457395359833406,-1.0593747246389622,0.2356713340062921,0.6228817443592367,0.0631446025353498
20240608OMR02,8,1,8,2.0,1.0,48.0,2,0,0.4081350127437994,0.6644147840626812,0.8725404612242321,-0.8645436780015417,0.06314460253535
20240608OMR03,8,2,8,3.0,2.0,48.0,2,0,0.3075071765068856,-0.1327022104134121,0.2487521406870591,-0.814596271754426,-0.3180136570717555
20240608OMR04,8,3,8,2.0,1.0,48.0,2,0,-0.6945145769150681,0.0752278125218624,-0.4473325777640516,-0.1583326869500455,-1.196415250701891
20240608OMR05,8,4,8,2.0,1.0,48.0,1,1,0.4245460294777468,0.2099523788699372,1.279429746938041,1.6036420014951218,-0.4719875816456673
20240608OMR06,8,5,8,2.0,1.0,48.0,1,0,0.5198196335201102,0.4011959568166122,-0.3741940984820505,1.5776602771180757,1.5690511463005274
20240608OMR07,8,6,7,0.0,1.0,48.0,0,1,1.1732710693542756,0.0073841671399511,-0.1035801506813277,-1.2569871072694048,0.4866642633922754
20240608OMR08,8,7,8,1.0,1.0,48.0,2,1,-0.250533575122334,0.2542539766765513,-0.1924319944006382,1.3667576868512876,-1.0724691669546649
