レースコード,1=2=3,1=2=4,1=2=5,1=2=6,1=3=4,1=3=5,1=3=6,1=4=5,1=4=6,1=5=6,2=3=4,2=3=5,2=3=6,2=4=5,2=4=6,2=5=6,3=4=5,3=4=6,3=5=6,4=5=6
20240625SMS10,3.7,5.3,21.9,7.5,4.7,14.5,10.4,19.0,12.4,26.3,51.2,112.0,92.6,124.3,48.5,153.8,45.8,36.3,100.8,49.3
20240625SMS11,3.2,7.8,19.2,56.2,3.1,6.1,42.6,18.9,43.9,85.3,17.3,26.7,138.1,56.2,205.2,230.1,12.4,99.9,49.3,194.7
20240625SMS12,2.5,4.5,6.2,20.6,8.8,8.3,27.9,13.7,32.4,31.4,40.8,58.5,124.7,66.8,111.1,118.0,87.5,134.9,171.7,161.3
20240625WKM01,2.2,6.0,17.4,6.8,8.8,22.0,8.5,30.5,22.6,53.4,41.5,124.7,29.9,46.7,62.3,74.8,74.8,78.7,136.0,106.9
20240625WKM02,9.5,27.3,49.4,3.4,25.4,29.6,5.8,48.1,8.7,14.4,24.7,65.9,11.0,88.9,14.4,19.5,57.4,17.6,22.5,26.1
20240625WKM03,3.4,19.8,14.8,40.1,7.0,3.8,11.7,21.1,58.8,30.8,39.2,23.8,48.3,34.2,64.9,41.8,18.1,35.5,18.2,43.8
20240625WKM04,4.1,18.2,10.4,47.1,25.7,20.5,70.7,29.3,42.7,46.1,7.1,2.8,16.4,16.8,33.7,22.4,47.1,119.1,68.5,78.0
20240625WKM05,2.8,2.0,15.4,83.2,5.7,27.7,101.3,14.3,58.2,166.5,18.6,166.5,259.0,75.1,129.5,291.3,129.5,145.6,388.5,211.9
20240625WKM06,欠場,9.4,9.2,10.9,欠場,欠場,欠場,4.2,2.8,6.1,欠場,欠場,欠場,22.4,13.3,29.6,欠場,欠場,欠場,8.0
20240625WKM07,4.3,3.2,4.1,6.0,52.4,49.4,73.1,48.5,49.4,49.4,27.9,19.9,33.0,25.2,19.3,25.5,152.8,167.6,173.2,129.9
20240625WKM08,2.3,4.5,6.0,66.1,5.7,6.4,77.5,15.6,90.4,60.3,50.7,67.0,235.9,98.6,301.5,217.1,102.4,339.2,301.5,175.0
20240625WKM09,4.7,3.0,7.2,19.6,6.5,9.0,25.6,7.3,16.5,25.0,67.4,161.5,213.2,140.3,205.0,213.2,126.9,242.3,242.3,130.0
20240625WKM10,3.5,11.9,3.6,7.0,14.1,8.5,12.1,15.4,24.2,15.7,89.2,77.9,94.9,107.3,108.9,43.0,105.8,121.4,102.8,87.1
20240625WKM11,2.5,5.3,12.5,26.0,5.4,7.6,23.7,11.7,17.9,27.0,68.9,96.8,162.5,148.5,136.7,86.1,102.5,121.3,165.6,61.9
20240625WKM12,4.3,5.6,欠場,5.3,4.5,欠場,3.7,欠場,6.2,欠場,34.4,欠場,55.9,欠場,57.3,欠場,欠場,36.5,欠場,欠場
20240625ASY01,1.6,4.1,67.5,8.4,8.3,136.7,10.5,133.4,22.2,207.6,62.2,509.6,64.4,147.5,80.0,155.7,130.3,65.1,700.7,207.6
20240625ASY02,9.9,2.0,15.7,47.7,5.9,50.9,98.5,5.1,10.3,81.2,32.6,185.3,243.8,26.7,37.3,243.8,132.3,98.5,386.1,29.1
20240625ASY03,2.9,33.4,17.1,58.5,5.3,2.1,12.7,39.0,117.1,58.5,97.6,33.4,175.7,206.7,251.0,195.2,35.1,130.1,71.7,159.7
20240625ASY04,12.0,1.9,35.7,100.8,2.8,42.6,100.8,5.3,20.1,144.6,62.7,369.7,415.9,75.6,237.6,1109,49.6,207.9,277.3,75.6
20240625ASY05,4.1,26.5,6.6,7.8,19.9,4.2,5.1,30.9,21.5,8.8,128.7,59.5,107.2,214.5,134.0,103.8,103.8,119.1,41.2,107.2
20240625ASY06,10.1,5.1,9.3,2.4,58.6,81.4,45.8,56.9,29.3,44.8,46.3,84.8,21.9,30.6,5.7,13.9,189.9,94.9,166.2,56.1
20240625ASY07,4.3,2.2,8.6,55.9,8.3,29.3,176.3,7.8,76.4,229.2,13.9,43.2,163.7,15.9,120.6,573.0,44.0,191.0,254.6,127.3
20240625ASY08,7.0,19.6,12.2,45.0,9.9,3.8,21.8,17.7,48.6,27.6,18.4,8.1,33.2,26.4,115.7,37.9,8.1,46.7,13.6,52.8
20240625ASY09,10.6,8.7,3.2,18.3,11.5,6.3,25.5,4.6,21.3,8.3,146.2,71.5,169.3,97.5,178.7,91.9,73.1,189.3,97.5,60.7
20240625ASY10,2.6,2.8,13.5,52.8,6.9,12.1,64.7,21.9,66.5,90.1,12.5,35.3,135.1,37.3,112.0,208.8,35.6,124.1,208.8,109.4
20240625ASY11,4.0,8.3,10.1,23.5,3.2,7.9,16.6,16.8,33.3,43.1,27.6,32.0,51.1,36.6,42.6,62.7,34.5,70.1,73.9,88.0
20240625ASY12,3.7,3.5,17.8,15.9,3.6,18.3,15.8,18.0,16.1,53.2,29.3,106.5,99.6,72.7,36.0,163.6,83.3,81.8,147.8,117.5
20240625FKO01,1.2,10.5,23.3,67.1,5.2,18.8,53.2,53.2,77.1,67.1,27.5,154.3,257.2,771.7,514.5,514.5,90.7,154.3,514.5,257.2
20240625FKO02,14.7,11.2,43.8,17.7,5.6,18.4,11.5,11.2,5.1,29.4,42.0,108.5,58.9,64.4,16.6,89.6,22.9,8.2,36.1,7.4
20240625FKO03,3.0,11.6,43.2,189.2,2.5,6.6,60.5,38.8,116.4,189.2,7.5,20.7,84.1,75.7,151.4,378.5,16.6,100.9,116.4,189.2
